CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,103,No,No,Yes,No,Yes,No,30,1.57,12,0.75,0,0.083333,13,1,1,?
?,28,No,No,No,No,No,?,?,2.17,1,1,0,0,22,0,0,Low
?,17,No,No,No,No,No,No,21,2.04,11,1,0,0,21.272727,0,0,?
?,1568,Yes,No,Yes,Yes,Yes,No,29,2.23,96,0.927083,0,0,10.885416,2,9,Low
?,1255,No,No,Yes,No,Yes,No,29,1.27,84,0.714285,0.107142,0.011904,8.369047,6,9,Low
?,57,No,No,Yes,No,Yes,No,14,1.64,10,1,0,0,14.5,0,0,?
?,270,No,No,Yes,No,Yes,No,19,1.59,25,0.72,0.08,0,10.36,4,4,Low
?,1857,No,No,Yes,No,Yes,No,26,1.67,125,0.824,0.024,0.024,13.104,13,10,Low
?,1431,No,No,Yes,Yes,Yes,No,32,2.55,88,0.965909,0,0,7.511363,1,8,Low
?,29,No,No,No,No,No,No,31,2.55,5,1,0,0,12.8,0,0,Low
?,45,No,No,No,No,No,No,15,2.52,13,0.923076,0,0,18.461538,0,0,?
?,1277,No,No,Yes,Yes,Yes,No,31,3.01,77,0.948051,0,0,14.675324,4,3,High
?,?,?,?,?,?,?,No,10,2.02,5,0.8,0,0,5.6,2,0,?
?,45,No,No,No,No,No,No,18,3.04,5,1,0,0,21.6,0,0,High
?,1484,No,No,Yes,Yes,Yes,No,31,2.68,85,0.952941,0.011764,0,14.164705,4,5,High
?,2312,Yes,Yes,Yes,Yes,Yes,No,29,3.61,138,0.971014,0.007246,0,12.275362,4,4,High
?,1941,No,No,Yes,Yes,Yes,No,29,3.37,118,0.957627,0,0,16.415254,3,6,High
?,36,No,No,No,No,No,No,19,2.81,12,1,0,0,15.166666,0,0,?
?,62,No,No,No,No,No,?,?,3.49,7,1,0,0,22.428571,0,0,Low
?,2159,Yes,Yes,Yes,Yes,Yes,No,29,3.36,124,0.959677,0,0,16.096774,0,4,High
?,2559,Yes,Yes,Yes,Yes,Yes,No,27,3.36,145,0.95862,0.013793,0,11.103448,3,4,High
?,30,No,No,No,No,No,No,7,3.34,5,1,0,0,16.4,0,0,High
?,2268,No,No,Yes,Yes,Yes,No,28,3.37,133,0.992481,0,0,14.413533,1,0,High
?,53,No,No,No,No,No,No,20,2.88,11,1,0,0,14.090909,1,1,?
?,1303,Yes,No,Yes,Yes,Yes,No,27,2.28,86,0.848837,0.034883,0,7.313953,11,7,High
?,86,No,No,Yes,No,Yes,No,26,2.17,12,0.916666,0,0,11.666666,1,1,Low
?,2168,Yes,No,Yes,Yes,Yes,No,30,2.49,129,0.914728,0.015503,0,11.968992,2,7,High
?,145,No,No,Yes,No,Yes,No,26,2.14,21,1,0,0,16.619047,0,1,?
?,?,?,?,?,?,?,No,14,2.35,6,1,0,0,14.833333,0,0,?
?,56,No,No,No,No,No,?,?,2.67,10,1,0,0,11.1,0,0,?
?,19,No,No,No,No,No,No,10,2.26,5,1,0,0,9.8,0,0,?
?,?,?,?,?,?,?,No,11,1.98,3,1,0,0,15.333333,0,0,?
?,?,?,?,?,?,?,No,15,2.6,6,1,0,0,16.5,0,0,?
?,11,No,No,No,No,No,No,14,2.35,17,1,0,0,17.529411,1,0,?
?,?,?,?,?,?,?,Yes,15,2.71,3,1,0,0,23,0,0,?
?,123,No,No,No,No,No,?,?,3,25,0.88,0.04,0,15.4,2,0,?
?,35,No,No,No,No,No,No,23,3.07,3,1,0,0,18.333333,0,0,Low
?,1581,Yes,Yes,Yes,Yes,Yes,No,33,2.78,97,0.938144,0.010309,0.010309,10.113402,2,9,Low
?,1561,Yes,Yes,Yes,Yes,Yes,No,29,3.43,97,0.979381,0.010309,0,11.814432,2,5,High
?,597,Yes,No,Yes,Yes,Yes,No,33,3.41,33,1,0,0,13.090909,2,1,High
?,1076,Yes,Yes,Yes,No,Yes,No,30,2.26,78,0.974358,0.025641,0,11.666666,2,1,Low
?,45,No,No,No,No,No,No,16,2.58,11,1,0,0,16.363636,0,1,?
?,31,No,No,No,No,No,No,17,2.37,11,1,0,0,14.636363,0,1,?
?,73,No,No,No,No,No,No,11,2.79,13,1,0,0,21.461538,0,0,Low
?,1145,Yes,Yes,Yes,Yes,Yes,No,30,2.39,89,0.932584,0.033707,0,13.35955,5,3,Low
?,105,No,No,No,No,Yes,No,31,2.35,1,1,0,0,10,0,0,?
?,62,No,No,No,No,No,No,23,2.98,2,1,0,0,5.5,0,0,?
?,1280,Yes,Yes,Yes,Yes,Yes,No,31,3.19,91,1,0,0,13.76923,0,1,High
?,1699,Yes,Yes,Yes,Yes,Yes,No,31,2.99,109,0.990825,0,0,13.981651,4,4,High
?,2056,Yes,Yes,Yes,Yes,Yes,No,33,3.53,121,0.958677,0.024793,0,12.595041,5,3,High
?,39,No,No,No,No,No,No,18,2.29,11,1,0,0,15.090909,2,0,?
