CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
D,55,No,No,No,No,No,No,?,3.29,6,0.833333,0,0,2.166666,3,1,Low
D,121,Yes,No,No,No,Yes,No,?,2.49,11,1,0,0,1.90909,5,2,High
D,157,No,No,Yes,No,Yes,No,?,1.27,12,0.75,0.083333,0,3.25,3,2,Low
D,36,No,No,No,No,No,No,?,2.56,6,1,0,0,1.666666,3,2,High
D,64,No,No,Yes,No,Yes,No,?,2.69,4,1,0,0,2.5,2,0,High
D,51,No,No,No,No,No,No,?,2.34,7,1,0,0,2.428571,2,3,Low
?,37,No,No,No,No,No,No,?,1.9,12,1,0,0,11.75,0,1,Low
?,27,No,No,No,No,No,No,?,1.74,4,1,0,0,25.25,0,0,Low
D,72,No,No,No,No,No,No,?,3.32,4,1,0,0,7.5,0,0,High
D,51,No,No,Yes,No,No,No,?,1.81,2,1,0,0,13,0,0,Low
D,71,No,No,Yes,No,Yes,No,?,1.9,5,0,0,0,2,2,1,Low
D,?,?,?,?,?,?,No,?,?,7,1,0,0,4.571428,0,0,?
D,?,?,?,?,?,?,No,?,?,3,1,0,0,3,0,2,?
D,175,No,No,Yes,No,Yes,No,?,2.33,14,0.785714,0.071428,0,3.571428,4,2,Low
D,?,?,?,?,?,?,No,?,?,5,0.2,0,0,4.4,1,0,?
D,?,?,?,?,?,?,No,?,?,6,0.666666,0,0,2.333333,3,2,?
D,123,No,No,Yes,No,Yes,No,?,2.04,13,0.76923,0,0,2.846153,6,2,High
?,366,Yes,No,Yes,No,Yes,No,26,2.04,20,1,0,0,10.1,1,1,Low
?,302,Yes,No,Yes,No,Yes,No,27,2.04,19,0.947368,0,0,9.894736,0,2,Low
?,?,?,?,?,?,?,No,28,3.27,26,1,0,0,13.461538,0,0,?
?,418,No,No,Yes,No,Yes,No,29,2.47,23,1,0,0,10.47826,1,2,High
?,238,No,Yes,Yes,No,Yes,No,?,1.99,21,1,0,0,14.95238,0,0,Low
?,386,No,No,Yes,No,Yes,No,?,1.84,34,1,0,0,7.441176,0,1,Low
?,561,No,No,Yes,No,Yes,Yes,?,1.97,52,1,0,0,16.557692,0,1,Low
?,327,No,No,Yes,No,Yes,Yes,?,2.44,28,1,0,0,13.75,0,1,High
?,434,No,No,Yes,No,Yes,Yes,?,1.96,36,1,0,0,13.472222,1,2,Low
